Address,Category,SubCategory,Name,Url,UrlImage,Price,PriceWithoutDiscount
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа AXE для мужчин, chill, 250 мл",https://samokat.ru/product/gel-dlya-dusha-axe-dlya-muzhchin-chill-250-ml,https://cm.samokat.ru/processed/m/original/115932_1117313132.jpg,196,296
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Axe Dark Temptation, для мужчин, 250 мл",https://samokat.ru/product/gel-dlya-dusha-axe-dark-temptation-dlya-muzhchin-250-ml,https://cm.samokat.ru/processed/m/product_card/0d69de76-ed21-421d-90be-4135128bb68a.jpg,219,353
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Из Испании: Гель для душа Dicora молоко и дыня, с витамином А, 400 мл",https://samokat.ru/product/7da410e3-85a2-11eb-85a3-1c34dae33151,https://cm.samokat.ru/processed/m/public/d4a1c657fd106323_8410262902080.jpg,269,399
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Крем-гель для душа Dove глубокое питание и увлажнение, 250 мл",https://samokat.ru/product/krem-gel-dlya-dusha-dove-glubokoe-pitanie-i-uvlazhnenie-250-ml,https://cm.samokat.ru/processed/m/public/8bdc6660f98536af_8717644026748.jpg,386,386
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Dove сливочная ваниль, пион и масло розы, 250 мл",https://samokat.ru/product/c694fc2d-e676-11e8-80c5-0cc47a817925,https://cm.samokat.ru/processed/m/public/b2f80effbc0447dc_8714100702628.jpg,365,365
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Ecolatier Увлажнение, аргана и ваниль, 600 мл",https://samokat.ru/product/e4bdb884-4dce-11ec-a0ee-ec0d9a21b021,https://cm.samokat.ru/processed/m/public/7df8f003883c61fa_4620046171661.jpg,399,499
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Из Чехии: Гель-шампунь Lilien Red Storm, мужской, 250 мл",https://samokat.ru/product/fce6646a-58bc-11eb-85a3-1c34dae33151,https://cm.samokat.ru/processed/m/original/74503_1553088997.jpg,209,299
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Mixit Super Food манго, 400 мл",https://samokat.ru/product/96b97a86-4328-11ed-b96c-08c0eb32008b,https://cm.samokat.ru/processed/m/product_card/456360d0-9d89-4ea9-95fb-f6977f5018ca.jpg,249,350
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Palmolive Men Спорт, восстанавливающий, 3 в 1, 500 мл",https://samokat.ru/product/f08e1caf-9bf7-11ed-ae77-08c0eb320147,https://cm.samokat.ru/processed/m/product_card/b5c9c446-d06a-44b4-b55a-44db71ac3cd1.jpg,288,529
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Synergetic, Карамельное яблоко и ваниль, 380 мл",https://samokat.ru/product/059ba1ab-6bb1-11eb-85a3-1c34dae33151,https://cm.samokat.ru/processed/m/product_card/4a6b1215-3f45-41e1-bc4f-ff2233232320.jpg,189,299
